Gender,Heart Sound Type,Lung Sound Type,Location,Sound ID
M,Normal,Rhonchi,LUA,M_N_R_LUA
F,Late Diastolic Murmur,Pleural Rub,RUSB,F_LDM_PR_RUSB
M,Tachycardia,Wheezing,LUSB,M_T_W_LUSB
F,AV Block,Crackles,RUSB,F_AVB_C_RUSB
F,Late Systolic Murmur,Gurgling,LLSB,F_LSM_G_LLSB
M,Late Systolic Murmur,Wheezing,RMA,M_LSM_W_RMA
M,Atrial Fibrillation,Pleural Rub,RLA,M_AF_PR_RLA
F,Normal,Wheezing,LLA,F_N_W_LLA
M,Mid Systolic Murmur,Crackles,LUSB,M_MSM_C_LUSB
F,Late Systolic Murmur,Wheezing,RUSB,F_LSM_W_RUSB
M,Normal,Rhonchi,RC,M_N_R_RC
M,Normal,Pleural Rub,LLSB, M_N_PR_LLSB
F,Late Systolic Murmur,Rhonchi,LUA,F_LSM_R_LUA
F,Mid Systolic Murmur,Crackles,LLA,F_MSM_C_LLA
F,Early Systolic Murmur,Normal,RLA,F_ESM_N_RLA
